tradeday,account,ticker,quantity
2017-11-16,XLIN01,LQD,8
2017-11-16,XLIN01,SQ,10
2017-11-16,XLIN01,TWTR,29
2017-11-16,XLIN01,YUMC,15
2017-11-17,XLIN01,CMG,3
2017-11-17,XLIN01,EBAY,10
2017-11-17,XLIN01,INTU,2
2017-11-17,XLIN01,JD,10
2017-11-17,XLIN01,KO,14
2017-11-17,XLIN01,KR,45
2017-11-17,XLIN01,LQD,8
2017-11-17,XLIN01,SQ,10
2017-11-17,XLIN01,TWTR,29
2017-11-17,XLIN01,YUMC,15
2017-11-20,XLIN01,CMG,3
2017-11-20,XLIN01,EBAY,10
2017-11-20,XLIN01,INTU,2
2017-11-20,XLIN01,JD,10
2017-11-20,XLIN01,KO,14
2017-11-20,XLIN01,KR,45
2017-11-20,XLIN01,LQD,8
2017-11-20,XLIN01,SQ,10
2017-11-20,XLIN01,TWTR,29
2017-11-20,XLIN01,YUMC,15
2017-11-21,XLIN01,CMG,3
2017-11-21,XLIN01,EBAY,10
2017-11-21,XLIN01,INTU,2
2017-11-21,XLIN01,JD,10
2017-11-21,XLIN01,KO,14
2017-11-21,XLIN01,KR,45
2017-11-21,XLIN01,LQD,8
2017-11-21,XLIN01,SQ,10
2017-11-21,XLIN01,TWTR,29
2017-11-21,XLIN01,YUMC,15
2017-11-22,XLIN01,CMG,3
2017-11-22,XLIN01,EBAY,10
2017-11-22,XLIN01,INTU,2
2017-11-22,XLIN01,JD,10
2017-11-22,XLIN01,KO,14
2017-11-22,XLIN01,KR,45
2017-11-22,XLIN01,LQD,8
2017-11-22,XLIN01,SQ,10
2017-11-22,XLIN01,TWTR,29
2017-11-22,XLIN01,YUMC,15
2017-11-23,XLIN01,CMG,3
2017-11-23,XLIN01,EBAY,10
2017-11-23,XLIN01,INTU,2
2017-11-23,XLIN01,JD,10
2017-11-23,XLIN01,KO,14
2017-11-23,XLIN01,KR,45
2017-11-23,XLIN01,LQD,8
2017-11-23,XLIN01,SQ,10
2017-11-23,XLIN01,TWTR,29
2017-11-23,XLIN01,YUMC,15
2017-11-24,XLIN01,CMG,3
2017-11-24,XLIN01,EBAY,10
2017-11-24,XLIN01,INTU,2
2017-11-24,XLIN01,JD,10
2017-11-24,XLIN01,KO,14
2017-11-24,XLIN01,KR,45
2017-11-24,XLIN01,LQD,8
2017-11-24,XLIN01,SQ,10
2017-11-24,XLIN01,TWTR,29
2017-11-24,XLIN01,YUMC,15
2017-11-27,XLIN01,CMG,3
2017-11-27,XLIN01,EBAY,10
2017-11-27,XLIN01,INTU,2
2017-11-27,XLIN01,JD,10
2017-11-27,XLIN01,KO,14
2017-11-27,XLIN01,KR,45
2017-11-27,XLIN01,LQD,8
2017-11-27,XLIN01,SQ,10
2017-11-27,XLIN01,TWTR,29
2017-11-27,XLIN01,YUMC,15
2017-11-28,XLIN01,CMG,3
2017-11-28,XLIN01,EBAY,10
2017-11-28,XLIN01,INTU,2
2017-11-28,XLIN01,JD,10
2017-11-28,XLIN01,KO,14
2017-11-28,XLIN01,KR,45
2017-11-28,XLIN01,LQD,8
2017-11-28,XLIN01,SQ,10
2017-11-28,XLIN01,TWTR,29
2017-11-28,XLIN01,YUMC,15
2017-11-29,XLIN01,CMG,3
2017-11-29,XLIN01,EBAY,10
2017-11-29,XLIN01,INTU,2
2017-11-29,XLIN01,JD,10
2017-11-29,XLIN01,KO,14
2017-11-29,XLIN01,KR,45
2017-11-29,XLIN01,LQD,8
2017-11-29,XLIN01,SQ,10
2017-11-29,XLIN01,TWTR,29
2017-11-29,XLIN01,YUMC,15
2017-11-30,XLIN01,CMG,3
2017-11-30,XLIN01,EBAY,10
2017-11-30,XLIN01,INTU,2
2017-11-30,XLIN01,JD,10
2017-11-30,XLIN01,KO,14
2017-11-30,XLIN01,KR,45
2017-11-30,XLIN01,LQD,8
2017-11-30,XLIN01,SQ,10
2017-11-30,XLIN01,TWTR,29
2017-11-30,XLIN01,YUMC,15
2017-12-01,XLIN01,CMG,3
2017-12-01,XLIN01,EBAY,10
2017-12-01,XLIN01,INTU,2
2017-12-01,XLIN01,JD,10
2017-12-01,XLIN01,KO,14
2017-12-01,XLIN01,KR,45
2017-12-01,XLIN01,LQD,8
2017-12-01,XLIN01,SQ,10
2017-12-01,XLIN01,TWTR,29
2017-12-01,XLIN01,YUMC,15
2017-12-04,XLIN01,CMG,3
2017-12-04,XLIN01,EBAY,10
2017-12-04,XLIN01,INTU,2
2017-12-04,XLIN01,JD,10
2017-12-04,XLIN01,KO,14
2017-12-04,XLIN01,KR,45
2017-12-04,XLIN01,LQD,8
2017-12-04,XLIN01,SQ,10
2017-12-04,XLIN01,TWTR,29
2017-12-04,XLIN01,YUMC,15
2017-12-05,XLIN01,CMG,3
2017-12-05,XLIN01,EBAY,10
2017-12-05,XLIN01,INTU,2
2017-12-05,XLIN01,JD,10
2017-12-05,XLIN01,KO,14
2017-12-05,XLIN01,KR,45
2017-12-05,XLIN01,LQD,8
2017-12-05,XLIN01,SQ,10
2017-12-05,XLIN01,TWTR,29
2017-12-05,XLIN01,YUMC,15
2017-12-06,XLIN01,CMG,3
2017-12-06,XLIN01,EBAY,10
2017-12-06,XLIN01,INTU,2
2017-12-06,XLIN01,JD,10
2017-12-06,XLIN01,KO,14
2017-12-06,XLIN01,KR,45
2017-12-06,XLIN01,LQD,8
2017-12-06,XLIN01,SQ,10
2017-12-06,XLIN01,TWTR,29
2017-12-06,XLIN01,YUMC,15
2017-12-07,XLIN01,CMG,3
2017-12-07,XLIN01,EBAY,10
2017-12-07,XLIN01,INTU,2
2017-12-07,XLIN01,JD,10
2017-12-07,XLIN01,KO,14
2017-12-07,XLIN01,KR,45
2017-12-07,XLIN01,LQD,8
2017-12-07,XLIN01,SQ,10
2017-12-07,XLIN01,TWTR,29
2017-12-07,XLIN01,YUMC,15
2017-12-08,XLIN01,CMG,3
2017-12-08,XLIN01,EBAY,10
2017-12-08,XLIN01,INTU,2
2017-12-08,XLIN01,JD,10
2017-12-08,XLIN01,KO,14
2017-12-08,XLIN01,KR,45
2017-12-08,XLIN01,LQD,8
2017-12-08,XLIN01,SQ,10
2017-12-08,XLIN01,TWTR,29
2017-12-08,XLIN01,YUMC,15
